zoning_summary,count,total_sqft
AP-PR,4,228925.98162524
AP-PR-BC-TR,71,478333.15299468004
AP-PR-BC-TR-PS,7,266791.9854123933
AP-PR-LS-TR-PS,11,87035.69949311695
AP-PR-PS,1,555514.4804462212
AP-PR-TR-PS,1,375062.2965781011
AP-UM-PR,2,23756.934680328923
AP-UM-PR-LS-PS,4,12324371.557629937
AP-UM-PR-LS-TR,3,5357.875480258222
AP-UM-PR-LS-TR-PS,19,244646.10050153517
AP-UM-PR-LS-TR-PS-HS,4,2804737.304349684
AP-UM-PR-PS,27,7777593.230951069
AP-UM-PR-TR,144,185189.60902167758
AP-UM-PR-TR-PS,13,383802.2874257204
CP-FP-PR,2,140433.68281797963
CP-FP-PR-HO-RR-PS,1,5631234.432525643
CP-FP-PR-LS,1,111574.41193613599
CP-FP-PR-LS-PS,2,46304.45153886695
CP-FP-UM-PR-LS-PS,4,910071.6194850523
CP-PR,8,498363.50135128625
CP-PR-BC,1,46005.75328460929
CP-PR-LS,2,70940.44355967868
CP-PR-LS-PS,9,1543196.1398549222
CP-PR-PS,5,4967551.182812913
CP-UM-PR-LS-PS,5,3252431.4276433624
CP-UM-PR-PS,3,229367.18136412205
CP-UM-PR-TR-PS,1,96051.97754026468
EMI,72,2585300.050555728
EMI-BC-TR,2,55715.772225951194
EMI-FP-LS-PS,1,6171137.31455744
EMI-FP-PR-HO-LS-RR-PS-HS,1,27358873.271680683
EMI-FP-PR-HO-RR-PS,1,5631234.432525643
EMI-HD,1,7616.76057011027
EMI-IZ,45,1052018.7805648444
EMI-IZ-BC-PS,1,16888.66369425422
EMI-IZ-HO-TR,11,259714.9413110475
EMI-IZ-HO-TR-HD,5,115881.47878099667
EMI-IZ-HO-TR-PS-HD,1,20741.458655094953
EMI-IZ-LS-BC,1,10212.287401718739
EMI-IZ-LS-BC-PS,7,972081.5361257643
EMI-IZ-LS-PS,8,3239364.5064227367
EMI-IZ-LS-TR,10,31062.03330108008
EMI-IZ-LS-TR-PS,64,739394.3457916135
EMI-IZ-LS-TR-PS-HD,1,3177.937609988351
EMI-IZ-PR-HO-LS-TR-PS-HD,1,1695971.1605531925
EMI-IZ-PR-HO-TR,1,116354.8341380746
EMI-IZ-PR-HO-TR-PS,10,217747.13410298037
EMI-IZ-PS,3,654095.9873004432
EMI-IZ-TR,11,35413.208449801365
EMI-IZ-TR-HD,1,57409.911204685544
EMI-IZ-TR-PS-HD,1,330064.9439610387
EMI-IZ-UM-HO-LS-TR-PS-HD,2,2636303.234141548
EMI-IZ-UM-LS-TR-PS,10,210210.44482049727
EMI-IZ-UM-TR-PS,2,8433.798831199007
EMI-LS,4,337849.1363847994
EMI-LS-BC-PS,8,477466.9696233091
EMI-LS-BC-TR-PS,2,797422.1451526199
EMI-LS-PS,18,13491731.167796312
EMI-LS-PS-HS,6,34972747.5704027
EMI-LS-TR,32,1450677.12352695
EMI-LS-TR-PS,23,1825439.5377217736
EMI-LS-TR-PS-HD,2,562736.476678743
EMI-NP-LS-TR-PS,5,881596.7448368017
EMI-NP-TR,1,3202.4208054440232
EMI-NP-TR-HD,3,56124.65108484088
EMI-NP-TR-HD-HS,2,24998.690994575903
EMI-NP-TR-PS,6,215259.8745842587
EMI-NP-TR-PS-HD,5,166495.7659800257
EMI-NP-TR-PS-HD-HS,2,111711.61780543388
EMI-PR,10,161300.21068260458
EMI-PR-LS-BC-TR-PS,1,519894.4967410597
EMI-PR-LS-PS,1,6602263.581821277
EMI-PR-LS-TR-PS,1,53033.553790674836
EMI-PR-PS,1,1306791.428662788
EMI-PR-PS-HS,3,139831.77243693348
EMI-PR-TR-PS,2,90275.67524735497
EMI-PS,146,9564182.237237582
EMI-PS-HD,7,2292937.0887104208
EMI-TR,169,2086353.3457436673
EMI-TR-HD,33,2158766.737706508
EMI-TR-HS,2,355859.199874391
EMI-TR-PS,36,2796445.3005321
EMI-TR-PS-HD,9,720404.1788041233
EMI-TR-PS-HD-HS,3,1384923.587827261
EMI-UM,1,8716.018657139868
EMI-UM-LS-SR-PS-HS,1,12454751.900825474
EMI-UM-LS-TR,4,9407.541730035355
EMI-UM-LS-TR-PS,12,435716.91276685835
EMI-UM-PR-PS,3,1075451.7844124602
EMI-UM-PS,28,3386206.311128869
EMI-UM-PS-HS,1,11406.303042470134
EMI-UM-TR-PS,1,990332.5206388907
GI,88,1533165.1581358744
GI-FP,26,576302.5650829964
GI-FP-HS,1,18412.752283682596
GI-FP-LS-PS,4,847574.490202647
GI-FP-LS-SR-PS,5,6576307.8405826995
GI-FP-PR-HO-LS-PS,1,302656.14615130087
GI-FP-PR-HO-LS-RR-SR-PS,1,3412860.5171355973
GI-FP-PR-HO-RR-PS,2,1312283.4530241445
GI-FP-PS,15,1588102.393953485
GI-FP-RR-PS,2,508220.8795651567
GI-FP-RR-SR-PS,1,690154.036764068
GI-FP-SR,22,4544085.359035096
GI-FP-SR-PS,40,40748757.126658574
GI-FP-UM-LS-PS,1,1191598.8992047138
GI-LS,1,14078.429614880559
GI-LS-PS,30,10961109.275019504
GI-LS-SR-PS,2,1420962.6612107442
GI-LS-TR-PS,1,880451.1677322526
GI-NP-PS,1,1160863.2783688612
GI-PR-HO,3,307709.48466351023
GI-PR-HO-RR-PS,1,62793.33885282598
GI-PS,34,4148684.772277566
GI-SR,2,8583.586556947286
GI-SR-PS,7,1058800.7238488544
GPRA-UM,13,62983.69826915764
GPRA-UM-LS-TR,1,826.6642289200896
GPRA-UM-LS-TR-PS,10,527156.1610910079
GPRA-UM-LS-TR-PS-HS,2,2028294.8951726612
GPRA-UM-PS,31,415634.60867901426
GPRA-UM-TR,55,207223.78309877153
GPRA-UM-TR-HS,1,8504.831540921332
GPRA-UM-TR-PS,55,421009.1721757137
GPRA-UM-TR-PS-HS,2,33459.65179411774
GPRB-LS-TR-PS,3,2430.775368046847
GPRB-UM,29,62322.42383381896
GPRB-UM-LS-PS,1,35610.406274731075
GPRB-UM-LS-TR,3,2462.056669248119
GPRB-UM-LS-TR-PS,79,1413381.0731183547
GPRB-UM-PR-LS-TR-PS-HS,1,1862176.9765688772
GPRB-UM-PS,27,136296.75452143128
GPRB-UM-TR,41,95704.3108715886
GPRB-UM-TR-PS,39,201670.64166303337
GPRC-PR-HO-LS-TR-PS-HS,1,32246.26501864177
GPRC-UM-LS-TR-PS,6,941572.2267907157
GPRC-UM-LS-TR-PS-HS,2,50841.78161145205
GPRC-UM-PR-LS-TR-PS,2,33128.54329712919
GPRC-UM-PR-LS-TR-PS-HS,3,2356747.9422067693
GPRC-UM-PR-TR,2,78744.60673864956
GPRC-UM-PR-TR-PS,3,57798.70956385587
GPRC-UM-TR,19,33624.59565262191
GPRC-UM-TR-PS,32,270852.1367052055
GT-A-PR-TR,351,3506833.8827003217
GT-A-PR-TR-HD,55,662370.7398918361
GT-A-PR-TR-HS,1,50522.39122377924
GT-B,9,79386.46886248255
GT-B-FP,1,100125.22047488019
GT-B-FP-PR-TR-PS,1,54832.311740685036
GT-B-FP-PR-TR-RR-PS,1,419607.9761151515
GT-B-PR-LS-TR-PS,2,226255.74575063164
GT-B-PR-TR,114,2923209.240998109
GT-B-PR-TR-HS,9,428121.7272123144
GT-B-PR-TR-PS,66,3446917.8907362074
GT-B-TR,4,385052.00988540554
GT-C-FP-PR-HO-TR-RR-PS,1,299145.30847371416
GT-C-FP-PR-RR-PS,1,39635.380651951615
GT-C-FP-PR-TR,12,239132.37809358572
GT-C-FP-PR-TR-HD,4,93280.19960638284
GT-C-FP-PR-TR-PS,72,176043.39280085624
GT-C-FP-PR-TR-RR,2,555287.3288632998
GT-C-FP-PR-TR-RR-PS,9,2074123.1988962092
GT-C-PR-HO-TR,3,107545.26115896572
GT-C-PR-HO-TR-RR,1,146184.7507463423
GT-C-PR-TR,231,3185629.977368867
GT-C-PR-TR-HD,123,991720.7637541794
GT-C-PR-TR-HS,15,138361.21514009536
GT-C-PR-TR-PS,6,223972.07929478923
GT-C-PR-TR-RR,1,211826.20591039493
GT-C-TR,5,84253.52450342235
GT-C-TR-RR,1,79271.3947757444
GT-D-FP-PR-TR-RR-PS,3,1250365.140155834
GT-D-PR-TR,341,1579957.3156366213
GT-E-LS-TR-PS,1,152405.12169738498
GT-E-LS-TR-PS-HS,2,326979.1450202601
GT-E-PR-PS,2,416477.20036415994
GT-E-PR-TR,1,109.89013902989443
GT-E-PR-TR-PS,17,922811.890043398
GT-E-TR,183,86472.68043737864
GT-E-TR-PS,22,339759.42140336224
H,211,2115271.583084001
H-FP-LS-PS,75,4472503.870658138
H-FP-LS-SR-PS,5,2802951.99066756
H-FP-LS-TR,1,8912.715290430924
H-FP-LS-TR-PS,6,745637.366425428
H-FP-LS-TR-SR-PS,8,3825273.1001243126
H-FP-PR-HO-LS-RR-PS,1,205168.23868551335
H-FP-PR-HO-LS-RR-SR-PS,1,3412860.5171355973
H-FP-PR-HO-LS-TR-SR-PS-HS,1,1587844.8418456563
H-FP-PS,18,236564.5888367548
H-FP-SR,1,85879.62878875795
H-FP-SR-PS,55,1421947.4402823772
H-FP-TR-PS,1,15047.957083856858
H-FP-TR-SR-PS,8,391913.37822971423
H-FP-UM-LS-PS,3,4208792.899103663
H-FP-UM-LS-SR-PS,1,1047403.8813966009
H-FP-UM-LS-TR-PS,2,5932808.538886718
H-FP-UM-LS-TR-SR-PS,3,2765866.679346194
H-FP-UM-PS,2,168455.46107346125
